2007,KV,283,African Studies,11
2008,KV,283,African Studies,11
2009,KV,283,African Studies,8
2010,KV,283,African Studies,12
2011,KV,283,African Studies,6
2012,KV,283,African Studies,4
2013,KV,283,African Studies,3
2014,KV,283,African Studies,3
2015,KV,283,African Studies,3
2005,KL,176,Agr & Consumer Economics,83
2006,KL,176,Agr & Consumer Economics,336
2007,KL,176,Agr & Consumer Economics,570
2009,KL,176,Agr & Consumer Economics,646
2010,KL,176,Agr & Consumer Economics,612
2011,KL,176,Agr & Consumer Economics,601
2012,KL,176,Agr & Consumer Economics,644
2013,KL,176,Agr & Consumer Economics,694
2014,KL,176,Agr & Consumer Economics,685
2015,KL,176,Agr & Consumer Economics,670
2005,KL,43,Agr & Environmental Cmc & Educ,103
2006,KL,43,Agr & Environmental Cmc & Educ,98
2007,KL,43,Agr & Environmental Cmc & Educ,90
2008,KL,43,Agr & Environmental Cmc & Educ,73
2009,KL,43,Agr & Environmental Cmc & Educ,82
2010,KL,43,Agr & Environmental Cmc & Educ,90
2011,KL,43,Agr & Environmental Cmc & Educ,78
2012,KL,43,Agr & Environmental Cmc & Educ,19
2013,KL,43,Agr & Environmental Cmc & Educ,11
2014,KL,43,Agr & Environmental Cmc & Educ,3
2005,KL,29,Agr Engineering & Agr Science,37
2006,KL,29,Agr Engineering & Agr Science,42
2007,KL,29,Agr Engineering & Agr Science,44
2008,KL,29,Agr Engineering & Agr Science,54
2009,KL,29,Agr Engineering & Agr Science,69
2010,KL,29,Agr Engineering & Agr Science,41
2011,KL,29,Agr Engineering & Agr Science,21
2012,KL,29,Agr Engineering & Agr Science,4
2014,KL,29,Agr Engineering & Agr Science,1
2015,KL,29,Agr Engineering & Agr Science,1
2012,KL,5318,Agric Leadership & Sci Educ,43
2013,KL,5318,Agric Leadership & Sci Educ,58
2014,KL,5318,Agric Leadership & Sci Educ,55
2015,KL,5318,Agric Leadership & Sci Educ,55
2011,KL,5273,Agricultural & Applied Econ,37
2012,KL,5273,Agricultural & Applied Econ,54
2013,KL,5273,Agricultural & Applied Econ,57
2014,KL,5273,Agricultural & Applied Econ,67
2015,KL,5273,Agricultural & Applied Econ,83
2008,KP,5163,Agricultural & Biological Engr,14
2009,KP,5163,Agricultural & Biological Engr,59
2010,KP,5163,Agricultural & Biological Engr,131
2010,KL,5163,Agricultural & Biological Engr,131
2011,KP,5163,Agricultural & Biological Engr,194
2011,KL,5163,Agricultural & Biological Engr,194
2012,KL,5163,Agricultural & Biological Engr,258
2012,KP,5163,Agricultural & Biological Engr,258
2013,KP,5163,Agricultural & Biological Engr,249
2013,KL,5163,Agricultural & Biological Engr,249
2014,KP,5163,Agricultural & Biological Engr,248
2014,KL,5163,Agricultural & Biological Engr,248
2015,KP,5163,Agricultural & Biological Engr,224
2011,KT,5284,Agricultural Communications,7
2012,KT,5284,Agricultural Communications,19
2013,KT,5284,Agricultural Communications,25
2014,KT,5284,Agricultural Communications,39
2015,KT,5284,Agricultural Communications,41
2005,KL,1,Agricultural Economics,1
2005,KL,181,Agricultural Education,7
2006,KL,181,Agricultural Education,3
2007,KL,181,Agricultural Education,4
2008,KL,181,Agricultural Education,1
2009,KL,181,Agricultural Education,2
2010,KL,181,Agricultural Education,6
2011,KL,181,Agricultural Education,8
2012,KL,181,Agricultural Education,5
2013,KL,181,Agricultural Education,8
2014,KL,181,Agricultural Education,8
2015,KL,181,Agricultural Education,10
2005,KP,102,Agricultural Engineering,93
2006,KP,102,Agricultural Engineering,88
2007,KP,102,Agricultural Engineering,92
2008,KP,102,Agricultural Engineering,90
2009,KP,102,Agricultural Engineering,64
2010,KP,102,Agricultural Engineering,44
2011,KP,102,Agricultural Engineering,10
2012,KP,102,Agricultural Engineering,2
2013,KP,102,Agricultural Engineering,1
2009,KL,5188,Agricultural Production,5
2010,KL,5188,Agricultural Production,7
2011,KL,5188,Agricultural Production,8
2012,KL,5188,Agricultural Production,9
2013,KL,5188,Agricultural Production,6
2014,KL,5188,Agricultural Production,7
2015,KL,5188,Agricultural Production,8
2015,KL,8501,Agriculture,1
2006,KV,1017,American Civilization,1
2013,KV,1017,American Civilization,1
2005,KL,2,Animal Sciences,598
2006,KL,2,Animal Sciences,617
2007,KL,2,Animal Sciences,638
2008,KL,2,Animal Sciences,644
2009,KL,2,Animal Sciences,620
2010,KL,2,Animal Sciences,600
2011,KL,2,Animal Sciences,560
2012,KL,2,Animal Sciences,587
2013,KL,2,Animal Sciences,627
2014,KL,2,Animal Sciences,632
2015,KL,2,Animal Sciences,620
2005,KV,340,Anthropology,207
2006,KV,340,Anthropology,222
2007,KV,340,Anthropology,220
2008,KV,340,Anthropology,243
2009,KV,340,Anthropology,217
2010,KV,340,Anthropology,201
2011,KV,340,Anthropology,205
2012,KV,340,Anthropology,226
2013,KV,340,Anthropology,199
2014,KV,340,Anthropology,177
2015,KV,340,Anthropology,146
2005,KV,327,Applied Mathematics,35
2006,KV,327,Applied Mathematics,27
2007,KV,327,Applied Mathematics,25
2008,KV,327,Applied Mathematics,28
2009,KV,327,Applied Mathematics,23
2010,KV,327,Applied Mathematics,24
2011,KV,327,Applied Mathematics,28
2012,KV,327,Applied Mathematics,31
2013,KV,327,Applied Mathematics,39
2014,KV,327,Applied Mathematics,34
2015,KV,327,Applied Mathematics,36
2005,KR,146,Architectural Studies,534
2006,KR,146,Architectural Studies,525
2007,KR,146,Architectural Studies,547
2008,KR,4091,Architectural Studies,3
2008,KR,146,Architectural Studies,578
2009,KR,146,Architectural Studies,552
2009,KR,4091,Architectural Studies,2
2010,KR,4091,Architectural Studies,2
2010,KR,146,Architectural Studies,503
2011,KR,146,Architectural Studies,505
2011,KR,4091,Architectural Studies,2
2012,KR,4091,Architectural Studies,4
2012,KR,146,Architectural Studies,478
2013,KR,4091,Architectural Studies,1
2013,KR,146,Architectural Studies,443
2014,KR,4091,Architectural Studies,5
2014,KR,146,Architectural Studies,431
2015,KR,146,Architectural Studies,398
2015,KR,4091,Architectural Studies,4
2005,KR,249,Architecture,203
2006,KR,249,Architecture,232
2007,KR,249,Architecture,208
2008,KR,249,Architecture,198
2009,KR,249,Architecture,194
2010,KR,249,Architecture,190
2011,KR,249,Architecture,219
2012,KR,249,Architecture,196
2013,KR,249,Architecture,178
2014,KR,249,Architecture,158
2015,KR,249,Architecture,172
2005,KR,169,Art Education,106
2006,KR,169,Art Education,108
2007,KR,169,Art Education,108
2008,KR,169,Art Education,105
2009,KR,169,Art Education,89
2010,KR,169,Art Education,91
2011,KR,169,Art Education,82
2012,KR,169,Art Education,71
2013,KR,169,Art Education,63
2014,KR,169,Art Education,49
2015,KR,169,Art Education,42
2006,KR,4090,Art Foundation,130
2007,KR,4090,Art Foundation,139
2008,KR,4090,Art Foundation,146
2009,KR,4090,Art Foundation,140
2010,KR,4090,Art Foundation,150
2011,KR,4090,Art Foundation,108
2012,KR,4090,Art Foundation,123
2013,KR,4090,Art Foundation,121
2014,KR,4090,Art Foundation,118
2015,KR,4090,Art Foundation,115
2005,KR,250,Art History,31
2006,KR,250,Art History,35
2007,KR,250,Art History,38
2008,KR,250,Art History,36
2009,KR,250,Art History,31
2010,KR,250,Art History,28
2011,KR,250,Art History,26
2012,KR,250,Art History,24
2013,KR,250,Art History,27
2014,KR,250,Art History,19
2015,KR,250,Art History,21
2005,KR,252,Art and Design,48
2006,KR,252,Art and Design,40
2007,KR,252,Art and Design,43
2008,KR,252,Art and Design,42
2009,KR,252,Art and Design,45
2010,KR,252,Art and Design,38
2011,KR,252,Art and Design,39
2012,KR,252,Art and Design,39
2013,KR,252,Art and Design,40
2014,KR,252,Art and Design,37
2015,KR,252,Art and Design,42
2005,KV,284,Asian Studies,13
2006,KV,284,Asian Studies,10
2007,KV,284,Asian Studies,13
2008,KV,284,Asian Studies,15
2009,KV,284,Asian Studies,10
2010,KV,284,Asian Studies,12
2011,KV,284,Asian Studies,8
2012,KV,284,Asian Studies,6
2013,KV,284,Asian Studies,2
2005,KV,333,Astronomy,72
2006,KV,333,Astronomy,64
2007,KV,333,Astronomy,70
2008,KV,333,Astronomy,75
2009,KV,333,Astronomy,73
2010,KV,333,Astronomy,74
2011,KV,333,Astronomy,64
2012,KV,333,Astronomy,64
2013,KV,333,Astronomy,62
2014,KV,333,Astronomy,77
2015,KV,333,Astronomy,82
2009,KY,5185,Athletic Training,29
2010,KY,5185,Athletic Training,34
2011,KY,5185,Athletic Training,17
2012,KY,5185,Athletic Training,1
2005,KV,334,Atmospheric Sciences,37
2006,KV,334,Atmospheric Sciences,38
2007,KV,334,Atmospheric Sciences,47
2008,KV,334,Atmospheric Sciences,86
2009,KV,334,Atmospheric Sciences,116
2010,KV,334,Atmospheric Sciences,128
2011,KV,334,Atmospheric Sciences,127
2012,KV,334,Atmospheric Sciences,117
2013,KV,334,Atmospheric Sciences,116
2014,KV,334,Atmospheric Sciences,121
2015,KV,334,Atmospheric Sciences,111
2005,KY,1053,Audiology,4
2006,KY,1053,Audiology,7
2007,KY,1053,Audiology,11
2008,KY,1053,Audiology,19
2009,KY,1053,Audiology,19
2010,KY,1053,Audiology,21
2011,KY,1053,Audiology,18
2012,KY,1053,Audiology,16
2013,KY,1053,Audiology,19
2014,KY,1053,Audiology,25
2015,KY,1053,Audiology,28
2005,LE,489,Aviation Human Factors,183
2006,LE,489,Aviation Human Factors,164
2007,LE,489,Aviation Human Factors,163
2008,LE,489,Aviation Human Factors,140
2009,LE,489,Aviation Human Factors,128
2010,LE,489,Aviation Human Factors,101
2011,LE,489,Aviation Human Factors,70
2012,LE,489,Aviation Human Factors,39
2013,LE,489,Aviation Human Factors,28
2014,LE,489,Aviation Human Factors,3
2005,KV,318,Biochemistry,377
2006,KV,318,Biochemistry,317
2007,KV,318,Biochemistry,260
2008,KV,318,Biochemistry,204
2009,KV,318,Biochemistry,202
2010,KV,318,Biochemistry,204
2011,KV,318,Biochemistry,208
2012,KV,318,Biochemistry,224
2013,KV,318,Biochemistry,225
2014,KV,318,Biochemistry,219
2015,KV,318,Biochemistry,234
2009,KL,5186,Bioenergy,6
2010,KL,5186,Bioenergy,12
2011,KL,5186,Bioenergy,12
2012,KL,5186,Bioenergy,9
2013,KL,5186,Bioenergy,10
2014,KL,5186,Bioenergy,17
2015,KL,5186,Bioenergy,19
2005,KV,408,Bioengineering,61
2005,KP,408,Bioengineering,61
2006,KP,408,Bioengineering,101
2007,KP,408,Bioengineering,137
2007,KV,408,Bioengineering,137
2008,KP,408,Bioengineering,173
2009,KV,408,Bioengineering,179
2009,KP,408,Bioengineering,179
2010,KP,408,Bioengineering,200
2011,KP,408,Bioengineering,231
2012,KP,408,Bioengineering,259
2013,KP,408,Bioengineering,276
2014,KP,408,Bioengineering,320
2015,KP,408,Bioengineering,318
2006,KP,4026,Bioinformatics,4
2007,KP,4026,Bioinformatics,4
2008,LP,4026,Bioinformatics,7
2008,KL,4026,Bioinformatics,7
2009,LP,4026,Bioinformatics,10
2009,KP,4026,Bioinformatics,10
2009,KL,4026,Bioinformatics,10
2010,LP,4026,Bioinformatics,16
2010,KL,4026,Bioinformatics,16
2010,KV,4026,Bioinformatics,16
2010,KP,4026,Bioinformatics,16
2011,KP,4026,Bioinformatics,15
2011,KL,4026,Bioinformatics,15
2011,LP,4026,Bioinformatics,15
2012,KP,4026,Bioinformatics,11
2012,KL,4026,Bioinformatics,11
2012,LP,4026,Bioinformatics,11
